Descrição,Endereco,M2,Preco,R$/M2
"Apartamento para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga em Itaquera, São Paulo",Rua Victório Santim,45.0,200000.0,4444.444444444444
"Apartamento para comprar com 24-36 m², 1 quarto, 1 banheiro em Parada XV de Novembro, São Paulo",Rua Damásio Pinto,36.0,187900.0,5219.444444444444
"Apartamento para comprar com 54-60 m², 2 quartos, 1 banheiro, 1 vaga em Jaraguá, São Paulo",Avenida Jerimanduba,60.0,200000.0,3333.3333333333335
"Apartamento para comprar com 50 m², 2 quartos, 1 banheiro, 1 vaga em Itaquera, São Paulo",Rua Lagoa da Barra,50.0,200000.0,4000.0
"Apartamento para comprar com 40 m², 2 quartos, 1 banheiro, 1 vaga em Itaquera, São Paulo",Rua Ibipitanga,40.0,200000.0,5000.0
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro, 1 vaga em Parada XV de Novembro, São Paulo",Rua Jeribatuba,38.0,200000.0,5263.1578947368425
"Apartamento para comprar com 54 m², 2 quartos, 1 banheiro, 1 vaga em Vila Sílvia, São Paulo",Rua Lauro de Freitas,54.0,200000.0,3703.703703703704
"Apartamento para comprar com 50 m², 2 quartos, 1 banheiro, 1 vaga em Parada XV de Novembro, São Paulo",Rua Senador Amaral Furlan,50.0,170000.0,3400.0
"Apartamento para comprar com 49 m², 2 quartos, 1 banheiro, 1 vaga em Conjunto Habitacional Padre Manoel de Paiva, São Paulo",Rua Estéfano Filipini,49.0,200000.0,4081.6326530612246
"Apartamento para comprar com 52 m², 3 quartos, 1 banheiro, 1 vaga em Lajeado, São Paulo",Rua Antônio Thadeo,52.0,199000.0,3826.923076923077
"Apartamento para comprar com 50 m², 2 quartos, 1 banheiro, 1 vaga em Vila Carmosina, São Paulo",Avenida Itaquera,50.0,190000.0,3800.0
"Apartamento para comprar com 43 m², 2 quartos, 1 banheiro, 1 vaga em Jardim Maringá, São Paulo",Avenida Itaquera,43.0,200000.0,4651.162790697675
"Apartamento para comprar com 23 m², 2 quartos, 1 banheiro, 1 vaga em Usina Piratininga, São Paulo",Avenida Miguel Yunes,23.0,179460.0,7802.608695652174
"Apartamento para comprar com 39-40 m², 2 quartos, 1 banheiro, 1 vaga em Núcleo Lageado, São Paulo",Rua São José de Mossamedes,40.0,188900.0,4722.5
"Apartamento para comprar com 60 m², 2 quartos, 1 banheiro, 1 vaga em Jardim São João (Jaraguá), São Paulo",,60.0,180000.0,3000.0
"Apartamento para comprar com 80 m², 3 quartos, 1 banheiro, 1 vaga em Lajeado, São Paulo",Rua Antônio Thadeo,80.0,199000.0,2487.5
"Apartamento para comprar com 44 m², 2 quartos, 1 banheiro, 1 vaga em Jardim Santa Terezinha (Zona Leste), São Paulo",Rua Catule,44.0,169000.0,3840.909090909091
"Apartamento para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga em Vila Sílvia, São Paulo",Rua Lauro de Freitas,45.0,189000.0,4200.0
"Apartamento para comprar com 42 m², 2 quartos, 1 banheiro, 1 vaga em Vila Cosmopolita, São Paulo",,42.0,199990.0,4761.666666666667
"Apartamento para comprar com 40 m², 2 quartos, 1 banheiro, 1 vaga em Vila Carmosina, São Paulo",,40.0,198000.0,4950.0
"Apartamento para comprar com 57 m², 2 quartos, 1 banheiro, 1 vaga em Jardim São João (Jaraguá), São Paulo",,57.0,160000.0,2807.0175438596493
"Apartamento para comprar com 33 m², 2 quartos, 1 banheiro, 1 vaga em Parque Cruzeiro do Sul, São Paulo",Rua Líbero Ancona Lopez,33.0,162550.0,4925.757575757576
"Apartamento para comprar com 59 m², 2 quartos, 1 banheiro, 1 vaga em Parque Sonia, São Paulo",Rua Manoel Fialho,59.0,180000.0,3050.8474576271187
"Apartamento para comprar com 35 m², 2 quartos, 1 banheiro em Barra Funda, São Paulo",Rua do Bosque,35.0,189900.0,5425.714285714285
"Apartamento para comprar com 40 m², 1 quarto, 1 banheiro em Bela Vista, São Paulo",Rua Paim,40.0,189000.0,4725.0
"Imóvel para comprar com 39 m², 1 quarto, 1 banheiro em Liberdade, São Paulo",Rua Conselheiro Furtado,39.0,189000.0,4846.153846153846
"Apartamento para comprar com 37 m², 2 quartos, 1 banheiro, 1 vaga em Vila Gomes, São Paulo",Rua Coronel Ferreira Leal,37.0,199900.0,5402.7027027027025
"Apartamento para comprar com 40 m², 2 quartos, 1 banheiro, 1 vaga em Jardim Marilu, São Paulo",Avenida Raimundo Pereira de Magalhães,40.0,200000.0,5000.0
"Apartamento para comprar com 40 m², 2 quartos, 1 banheiro, 1 vaga em Água Branca, São Paulo",,40.0,199900.0,4997.5
"Apartamento para comprar com 28-36 m², 1 quarto, 1 banheiro em Brás, São Paulo",Avenida Rangel Pestana,36.0,190000.0,5277.777777777777
